factors,regularization,alpha,iterations,MAP@10
192,0.005,100.0,20,0.13268183390845972
192,0.005,50.0,20,0.13260066240505303
192,0.01,100.0,20,0.1325294167802868
192,0.01,50.0,20,0.13251684162678085
192,0.05,100.0,20,0.13215103106944462
192,0.05,50.0,20,0.13201708619130628
192,0.005,200.0,20,0.13047895897183542
192,0.01,200.0,20,0.13041590262221298
192,0.05,200.0,20,0.12993380590157655
128,0.005,50.0,20,0.1255926912197794
128,0.01,50.0,20,0.12552506230862215
128,0.005,100.0,20,0.12551853404940788
128,0.01,100.0,20,0.12549872553615377
128,0.01,100.0,20,0.12549872553615377
128,0.05,50.0,20,0.12538061881224358
128,0.05,100.0,20,0.12530526181821822
128,0.1,100.0,20,0.12529429829850897
128,0.01,40.0,20,0.12514231172144963
128,0.1,40.0,20,0.12494574536122394
128,0.05,200.0,20,0.12334097229518011
128,0.005,200.0,20,0.1232988692633134
128,0.01,200.0,20,0.12320384742803292
64,0.05,50.0,20,0.11226352428884506
64,0.005,50.0,20,0.1122469172265781
64,0.01,50.0,20,0.11224065401012501
64,0.1,40.0,20,0.112150866236613
64,0.01,40.0,20,0.11214481217818068
64,0.005,100.0,20,0.11151726323008267
64,0.01,100.0,20,0.11149257665698317
64,0.01,100.0,20,0.11149257665698317
64,0.1,100.0,20,0.11141923972435662
64,0.05,100.0,20,0.1113799927581736
64,0.05,200.0,20,0.10868517345597212
64,0.005,200.0,20,0.10843213584206107
64,0.01,200.0,20,0.10837188036618162
128,0.01,1.0,20,0.0555891405278366
128,0.1,1.0,20,0.05557871224768403
64,0.1,1.0,20,0.05319217499080933
64,0.01,1.0,20,0.053166911259661054
